City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,La Plata,-34.92,-57.95,68.0,78,0,1.01,AR,1592348358
125,Kashgar,39.45,75.98,71.6,23,66,11.18,CN,1592348358
126,Pevek,69.7,170.31,46.02,66,100,3.47,RU,1592348358
127,Viedma,-40.81,-63.0,49.95,53,100,7.36,AR,1592348358
128,Kassala,15.45,36.4,81.36,54,100,15.9,SD,1592348359
129,Caranavi,-15.82,-67.55,63.84,84,86,1.14,BO,1592348359
130,Cap Malheureux,-19.98,57.61,69.8,83,40,16.11,MU,1592348229
131,Sørland,67.67,12.69,50.58,79,5,12.37,NO,1592348359
132,Iqaluit,63.75,-68.51,41.0,65,75,4.7,CA,1592348359
133,Saldanha,-33.01,17.94,53.6,66,0,4.7,ZA,1592348359
134,Kununurra,-15.77,128.73,66.2,25,4,5.82,AU,1592348359
135,Atbasar,51.8,68.33,51.55,68,8,7.47,KZ,1592348360
136,Broome,42.25,-75.83,75.99,36,1,5.82,US,1592348360
137,General Roca,-39.03,-67.58,44.6,81,65,1.63,AR,1592348360
138,Pisco,-13.7,-76.22,66.2,77,4,17.22,PE,1592348360
139,Punta Arenas,-53.15,-70.92,35.6,93,20,12.75,CL,1592348322
140,Saint-Philippe,-21.36,55.77,64.4,88,75,10.29,RE,1592348361
141,Beyneu,45.32,55.2,69.57,31,0,2.46,KZ,1592348361
142,Sioux Lookout,50.1,-91.92,89.6,46,40,11.41,CA,1592348361
143,Hithadhoo,-0.6,73.08,84.25,75,89,9.93,MV,1592348233
144,Mbandaka,0.05,18.26,73.22,73,58,2.1,CD,1592348361
145,Necochea,-38.55,-58.74,57.99,93,100,5.99,AR,1592348362
146,Puerto Cabello,10.47,-68.01,80.87,80,72,13.31,VE,1592348362
147,Wanganui,-39.93,175.05,59.0,67,87,5.99,NZ,1592348362
148,Motril,36.75,-3.52,75.99,48,75,14.7,ES,1592348362
149,Ribas do Rio Pardo,-20.44,-53.76,69.67,63,0,8.9,BR,1592348362
150,Sistranda,63.73,8.83,55.4,100,20,4.7,NO,1592348362
151,Jundiá,-8.93,-35.57,75.2,88,27,4.7,BR,1592348363
152,Narsaq,60.92,-46.05,41.0,80,48,11.41,GL,1592348363
153,Bālāghāt,21.8,80.18,79.57,83,99,5.88,IN,1592348363
154,Ōhara,35.25,140.38,75.0,68,40,8.05,JP,1592348363
155,Kysyl-Syr,63.9,122.76,68.59,62,15,7.36,RU,1592348363
156,Denpasar,-8.65,115.22,82.4,94,40,11.41,ID,1592348314
157,Grozeşti,44.65,23.32,66.99,87,59,1.86,RO,1592348364
158,Emba,48.83,58.14,59.58,60,0,2.73,KZ,1592348364
159,Kapaa,22.08,-159.32,78.8,83,90,12.75,US,1592348364
160,Katsuura,35.13,140.3,75.2,64,12,8.05,JP,1592348364
161,Yellowknife,62.46,-114.35,64.4,45,20,19.46,CA,1592348275
162,Ciudad Guayana,8.35,-62.65,81.0,77,58,3.0,VE,1592348103
163,Leningradskiy,69.38,178.42,53.28,59,0,8.7,RU,1592348291
164,Kupang,-10.17,123.58,79.41,74,74,14.65,ID,1592348365
165,Indianola,41.36,-93.56,84.2,51,20,16.11,US,1592348365
166,Xaçmaz,41.46,48.81,73.24,55,0,10.63,AZ,1592348345
167,Mahébourg,-20.41,57.7,69.8,83,40,16.11,MU,1592348365
168,Caravelas,-17.71,-39.25,72.19,89,79,14.2,BR,1592348365
169,Olafsvik,64.89,-23.71,46.56,79,92,8.5,IS,1592348366
170,Ribeira Grande,38.52,-28.7,64.67,89,6,15.59,PT,1592348246
171,Ola,59.58,151.28,54.25,65,20,8.57,RU,1592348366
172,Bengkulu,-3.8,102.27,75.81,87,86,5.57,ID,1592348239
173,São João da Barra,-21.64,-41.05,70.07,78,67,12.28,BR,1592348255
174,Esperance,-33.87,121.9,50.0,61,4,18.34,AU,1592348366
175,Sjøvegan,68.87,17.85,45.0,75,0,5.82,NO,1592348366
176,Waingapu,-9.66,120.26,77.27,81,91,12.06,ID,1592348367
177,Vestmannaeyjar,63.44,-20.27,47.39,80,41,9.17,IS,1592348367
178,Cherskiy,68.75,161.3,77.18,27,55,5.61,RU,1592348367
179,Sola,-13.88,167.55,80.83,82,92,24.07,VU,1592348367
180,Ojinaga,29.57,-104.42,98.6,13,1,3.36,MX,1592348367
181,Ibrā’,22.69,58.53,82.8,55,1,1.61,OM,1592348367
182,Grindavik,63.84,-22.43,48.2,76,75,8.05,IS,1592348368
183,Saskylakh,71.92,114.08,59.76,38,1,20.6,RU,1592348368
184,Ixtapa,20.7,-105.2,84.2,66,5,12.75,MX,1592348200
185,Lorengau,-2.02,147.27,85.17,69,86,6.58,PG,1592348258
186,Rafiganj,24.82,84.65,81.5,84,100,3.04,IN,1592348347
187,Ilulissat,69.22,-51.1,39.2,79,99,6.93,GL,1592348368
188,Xichang,27.9,102.26,69.58,76,49,3.09,CN,1592348368
189,Marataizes,-21.04,-40.82,70.0,82,93,11.27,BR,1592348369
190,Arraial do Cabo,-22.97,-42.03,69.76,76,9,14.94,BR,1592348228
191,Camopi,3.17,-52.32,75.15,97,100,2.42,GF,1592348369
192,Goldsboro,35.38,-77.99,66.2,100,90,11.41,US,1592348369
193,Lompoc,34.64,-120.46,68.0,52,0,20.8,US,1592348369
194,Clyde River,70.47,-68.59,37.4,74,75,5.82,CA,1592348369
195,Yar-Sale,66.83,70.83,40.15,67,85,13.09,RU,1592348264
196,Khovd,48.01,91.64,63.12,45,16,3.62,MN,1592348370
197,Thio,-21.62,166.22,73.4,64,0,1.12,NC,1592348370
198,Port Blair,11.67,92.75,80.73,86,100,17.83,IN,1592348264
199,Acaraú,-2.89,-40.12,78.46,85,25,13.06,BR,1592348370
200,Kafanchan,9.58,8.3,68.61,88,99,4.59,NG,1592348370
201,Luanda,-8.84,13.23,71.6,94,20,3.36,AO,1592348273
202,Riyadh,24.69,46.72,91.4,22,6,6.51,SA,1592348248
203,Chui,-33.7,-53.46,60.64,94,23,7.99,UY,1592348371
204,Rio Grande,-32.03,-52.1,63.0,90,0,1.99,BR,1592348134
205,Provideniya,64.38,-173.3,53.6,62,28,8.95,RU,1592348222
206,Luba,3.46,8.55,75.2,84,20,3.36,GQ,1592348371
207,Ulaangom,49.98,92.07,61.59,61,4,1.19,MN,1592348371
208,Lázaro Cárdenas,17.96,-102.2,86.25,64,6,11.63,MX,1592348371
209,Havre-St-Pierre,50.23,-63.6,66.2,45,75,16.11,CA,1592348372
210,Brae,60.4,-1.35,51.8,93,0,0.72,GB,1592348372
211,Campbell River,50.02,-125.24,66.2,52,20,9.17,CA,1592348372
212,Grand Gaube,-20.01,57.66,69.8,83,40,16.11,MU,1592348104
213,Broken Hill,-31.95,141.43,46.4,87,41,5.82,AU,1592348372
214,Luoyang,34.68,112.45,64.99,53,100,10.54,CN,1592348372
215,Salalah,17.02,54.09,86.0,84,75,3.36,OM,1592348372
216,Negombo,7.21,79.84,80.6,94,40,3.36,LK,1592348373
217,Shebunino,46.43,141.86,53.31,89,100,6.31,RU,1592348373
218,Seoul,37.57,126.98,71.6,78,85,3.36,KR,1592348366
219,Dourbali,11.81,15.86,94.73,31,42,13.56,TD,1592348373
220,Haines Junction,60.75,-137.51,64.22,42,100,8.16,CA,1592348373
221,Grăniceri,46.52,21.3,66.2,93,99,4.7,RO,1592348374
222,Dzaoudzi,-12.79,45.27,78.8,69,99,16.11,YT,1592348374
223,Ostrovnoy,68.05,39.51,43.59,72,96,6.69,RU,1592348374
224,Marsh Harbour,26.54,-77.06,79.68,72,100,6.42,BS,1592348374
225,Inírida,3.87,-67.92,73.8,98,100,2.51,CO,1592348374
226,Mattru,7.62,-11.83,75.29,97,100,3.13,SL,1592348374
227,Chernenko,44.37,39.31,62.13,86,80,1.59,RU,1592348374
228,Kristiansund,63.11,7.73,60.8,82,46,4.7,NO,1592348375
229,Nome,64.5,-165.41,71.01,55,1,10.29,US,1592348247
230,Nikki,9.94,3.21,77.5,87,89,7.63,BJ,1592348375
231,Asău,46.43,26.4,63.0,100,75,3.36,RO,1592348375
